__metadata,Equnr,Eqktu,Swerk,PName,SyStat,UserStat,UserStatTxt,CurrStat,Werks,Eqtyp
"{'id': ""https://s4api.sap.jktyre.in:44305/sap/opu/odata/sap/ZINFI_PLT_API_SRV/InfiMouldMstSet('B145R12ULTIXPCGC09')"", 'uri': ""https://s4api.sap.jktyre.in:44305/sap/opu/odata/sap/ZINFI_PLT_API_SRV/InfiMouldMstSet('B145R12ULTIXPCGC09')"", 'type': 'ZINFI_PLT_API_SRV.InfiMouldMst'}",B145R12ULTIXPCGC09,145 R 12 ULTIMA XPC-GC09,1900,Chennai Tyre Plant,,,,ACTIVE,,
"{'id': ""https://s4api.sap.jktyre.in:44305/sap/opu/odata/sap/ZINFI_PLT_API_SRV/InfiMouldMstSet('B145R12ULTIXPCGC10')"", 'uri': ""https://s4api.sap.jktyre.in:44305/sap/opu/odata/sap/ZINFI_PLT_API_SRV/InfiMouldMstSet('B145R12ULTIXPCGC10')"", 'type': 'ZINFI_PLT_API_SRV.InfiMouldMst'}",B145R12ULTIXPCGC10,145 R 12 ULTIMA XPC-GC10,1900,Chennai Tyre Plant,,,,ACTIVE,,
"{'id': ""https://s4api.sap.jktyre.in:44305/sap/opu/odata/sap/ZINFI_PLT_API_SRV/InfiMouldMstSet('B145R12ULTIXPCGC11')"", 'uri': ""https://s4api.sap.jktyre.in:44305/sap/opu/odata/sap/ZINFI_PLT_API_SRV/InfiMouldMstSet('B145R12ULTIXPCGC11')"", 'type': 'ZINFI_PLT_API_SRV.InfiMouldMst'}",B145R12ULTIXPCGC11,145 R 12 ULTIMA XPC-GC11,1900,Chennai Tyre Plant,,,,ACTIVE,,
"{'id': ""https://s4api.sap.jktyre.in:44305/sap/opu/odata/sap/ZINFI_PLT_API_SRV/InfiMouldMstSet('B145R12ULTIXPCGC12')"", 'uri': ""https://s4api.sap.jktyre.in:44305/sap/opu/odata/sap/ZINFI_PLT_API_SRV/InfiMouldMstSet('B145R12ULTIXPCGC12')"", 'type': 'ZINFI_PLT_API_SRV.InfiMouldMst'}",B145R12ULTIXPCGC12,145 R 12 ULTIMA XPC-GC12,1900,Chennai Tyre Plant,,,,ACTIVE,,
"{'id': ""https://s4api.sap.jktyre.in:44305/sap/opu/odata/sap/ZINFI_PLT_API_SRV/InfiMouldMstSet('B145R12ULTIXPCGC13')"", 'uri': ""https://s4api.sap.jktyre.in:44305/sap/opu/odata/sap/ZINFI_PLT_API_SRV/InfiMouldMstSet('B145R12ULTIXPCGC13')"", 'type': 'ZINFI_PLT_API_SRV.InfiMouldMst'}",B145R12ULTIXPCGC13,145 R 12 ULTIMA XPC-GC13,1900,Chennai Tyre Plant,,,,ACTIVE,,
"{'id': ""https://s4api.sap.jktyre.in:44305/sap/opu/odata/sap/ZINFI_PLT_API_SRV/InfiMouldMstSet('B145R12ULTIXPCGC14')"", 'uri': ""https://s4api.sap.jktyre.in:44305/sap/opu/odata/sap/ZINFI_PLT_API_SRV/InfiMouldMstSet('B145R12ULTIXPCGC14')"", 'type': 'ZINFI_PLT_API_SRV.InfiMouldMst'}",B145R12ULTIXPCGC14,145 R 12 ULTIMA XPC-GC14,1900,Chennai Tyre Plant,,,,ACTIVE,,
"{'id': ""https://s4api.sap.jktyre.in:44305/sap/opu/odata/sap/ZINFI_PLT_API_SRV/InfiMouldMstSet('B145R12ULTIXPCGC15')"", 'uri': ""https://s4api.sap.jktyre.in:44305/sap/opu/odata/sap/ZINFI_PLT_API_SRV/InfiMouldMstSet('B145R12ULTIXPCGC15')"", 'type': 'ZINFI_PLT_API_SRV.InfiMouldMst'}",B145R12ULTIXPCGC15,145 R 12 ULTIMA XPC-GC15,1900,Chennai Tyre Plant,,,,ACTIVE,,
"{'id': ""https://s4api.sap.jktyre.in:44305/sap/opu/odata/sap/ZINFI_PLT_API_SRV/InfiMouldMstSet('B145R12ULTIXPCGC16')"", 'uri': ""https://s4api.sap.jktyre.in:44305/sap/opu/odata/sap/ZINFI_PLT_API_SRV/InfiMouldMstSet('B145R12ULTIXPCGC16')"", 'type': 'ZINFI_PLT_API_SRV.InfiMouldMst'}",B145R12ULTIXPCGC16,145 R 12 ULTIMA XPC-GC16,1900,Chennai Tyre Plant,,,,ACTIVE,,
"{'id': ""https://s4api.sap.jktyre.in:44305/sap/opu/odata/sap/ZINFI_PLT_API_SRV/InfiMouldMstSet('B145R12ULTIXPCHM01')"", 'uri': ""https://s4api.sap.jktyre.in:44305/sap/opu/odata/sap/ZINFI_PLT_API_SRV/InfiMouldMstSet('B145R12ULTIXPCHM01')"", 'type': 'ZINFI_PLT_API_SRV.InfiMouldMst'}",B145R12ULTIXPCHM01,145 R 12 ULTIMA XPC-HM01,1900,Chennai Tyre Plant,,,,ACTIVE,,
"{'id': ""https://s4api.sap.jktyre.in:44305/sap/opu/odata/sap/ZINFI_PLT_API_SRV/InfiMouldMstSet('B145R12ULTIXPCHM02')"", 'uri': ""https://s4api.sap.jktyre.in:44305/sap/opu/odata/sap/ZINFI_PLT_API_SRV/InfiMouldMstSet('B145R12ULTIXPCHM02')"", 'type': 'ZINFI_PLT_API_SRV.InfiMouldMst'}",B145R12ULTIXPCHM02,145 R 12 ULTIMA XPC-HM02,1900,Chennai Tyre Plant,,,,ACTIVE,,
"{'id': ""https://s4api.sap.jktyre.in:44305/sap/opu/odata/sap/ZINFI_PLT_API_SRV/InfiMouldMstSet('B155-70R13-NXTGR05')"", 'uri': ""https://s4api.sap.jktyre.in:44305/sap/opu/odata/sap/ZINFI_PLT_API_SRV/InfiMouldMstSet('B155-70R13-NXTGR05')"", 'type': 'ZINFI_PLT_API_SRV.InfiMouldMst'}",B155-70R13-NXTGR05,155 / 70 R 13 ULTIMA NXT _ GR05,1900,Chennai Tyre Plant,,,,ACTIVE,,
"{'id': ""https://s4api.sap.jktyre.in:44305/sap/opu/odata/sap/ZINFI_PLT_API_SRV/InfiMouldMstSet('B155-70R13-NXTGR06')"", 'uri': ""https://s4api.sap.jktyre.in:44305/sap/opu/odata/sap/ZINFI_PLT_API_SRV/InfiMouldMstSet('B155-70R13-NXTGR06')"", 'type': 'ZINFI_PLT_API_SRV.InfiMouldMst'}",B155-70R13-NXTGR06,155 / 70 R 13 ULTIMA NXT _ GR06,1900,Chennai Tyre Plant,,,,ACTIVE,,
"{'id': ""https://s4api.sap.jktyre.in:44305/sap/opu/odata/sap/ZINFI_PLT_API_SRV/InfiMouldMstSet('B1557014VECTRAMK05')"", 'uri': ""https://s4api.sap.jktyre.in:44305/sap/opu/odata/sap/ZINFI_PLT_API_SRV/InfiMouldMstSet('B1557014VECTRAMK05')"", 'type': 'ZINFI_PLT_API_SRV.InfiMouldMst'}",B1557014VECTRAMK05,155 / 70 R 14 VECTRA _ MK05,1900,Chennai Tyre Plant,,,,ACTIVE,,
"{'id': ""https://s4api.sap.jktyre.in:44305/sap/opu/odata/sap/ZINFI_PLT_API_SRV/InfiMouldMstSet('B1656514ULSPRTSY01')"", 'uri': ""https://s4api.sap.jktyre.in:44305/sap/opu/odata/sap/ZINFI_PLT_API_SRV/InfiMouldMstSet('B1656514ULSPRTSY01')"", 'type': 'ZINFI_PLT_API_SRV.InfiMouldMst'}",B1656514ULSPRTSY01,165 / 65 R 14 ULTIMA SPORT _ SY01,1900,Chennai Tyre Plant,,,,ACTIVE,,
