Plant_Code,Mold_Name,Item_Code,Full_Load
1900,C10R20JSJDE16HM36,1121110020018KJDE0,
1900,C10R20JSJDE16HM38,1121110020018KJDE0,
1900,R0000010R20JDEGC04,1121110020018KJDE0,
1900,C1020JS10916VDEG01,1121110020018KVDE0,
1900,C10R20JSJDE16HM34,1121110020018KVDE0,
1900,R0000010R20JDEGR20,1121110020018KVDE0,
1900,C11R20JS114TTGC01,1121111020016K1141,
1900,C11R20JDCXDGC11,1121111020016KCXD0,
1900,C11R20JDCXDGC12,1121111020016KCXD0,
1900,C11R20JDCXDGC13,1121111020016KCXD0,
1900,C11R20JDCXDGC14,1121111020016KCXD0,
1900,R00011R20JDCXDGC04,1121111020016KCXD0,
1900,R00011R20JDCXDGC06,1121111020016KCXD0,
1900,R00011R20JDCXDGC07,1121111020016KCXD0,
1900,R0011R20JDCXDHMI02,1121111020016KCXD0,
1900,R0011R20JDCXDHMI05,1121111020016KCXD0,
1900,R0011R20JDCXDHMI06,1121111020016KCXD0,
1900,R011R20JDCXDHMI05,1121111020016KCXD0,
1900,R011R20JDCXDHMI06,1121111020016KCXD0,
1900,C00011R20JSJDEHM07,1121111020016KDEP0,
1900,C00011R20JSJDEHM08,1121111020016KDEP0,
1900,C00011R20JSJDEHM09,1121111020016KDEP0,
1900,C00011R20JSJDEHM10,1121111020016KDEP0,
1900,C11R20JSJDE16GC01,1121111020016KDEP0,
1900,C11R20JSJDE16GC02,1121111020016KDEP0,
1900,C11R20JSJDE16GC11,1121111020016KDEP0,
1900,C11R20JSJDE16GC12,1121111020016KDEP0,
1900,R0000011R20JDEGC03,1121111020016KDEP0,
1900,R0000011R20JDEGC06,1121111020016KDEP0,
1900,R0000011R20JDEGC07,1121111020016KDEP0,
1900,R0000011R20JDEGC08,1121111020016KDEP0,
1900,R0000011R20JDEGC09,1121111020016KDEP0,
1900,R0000011R20JDEGC10,1121111020016KDEP0,
1900,C11R20JSJDH16GC13,1121111020016KJDH0,
1900,C11R20JSJDH16GC14,1121111020016KJDH0,
1900,R0000011R20JDHGC04,1121111020016KJDH0,
1900,R0000011R20JDHGC05,1121111020016KJDH0,
1900,R0000011R20JDHGC06,1121111020016KJDH0,
1900,C27590R20JS121GC01,1121127A20149KDEF0,
1900,C27590R20JS121GC02,1121127A20149KDEF0,
1900,C10R20JSJDC316GC01,1121129A20000JDC30,
1900,C10R20JSJDC316GC02,1121129A20000JDC30,
1900,C10R20JSJDC316GC03,1121129A20000JDC30,
1900,C10R20JSJDC316GC04,1121129A20000JDC30,
1900,C10R20JSJDC316GC05,1121129A20000JDC30,
1900,C10R20JSJDC316GC07,1121129A20000JDC30,
1900,C10R20JSJDC316HM03,1121129A20000JDC30,
1900,C10R20JSJDC316HM05,1121129A20000JDC30,
1900,C10R20JSJDC316HM06,1121129A20000JDC30,
1900,C10R20JSJDC3TTHM02,1121129A20000JDC30,
1900,C10R20JSJDE16GC06,1121129A20000JDEP0,
1900,C10R20JSJDE16GC07,1121129A20000JDEP0,
1900,C10R20JSJDE16GC08,1121129A20000JDEP0,
1900,C10R20JSJDE16GC09,1121129A20000JDEP0,
1900,C10R20JSJDE16GC11,1121129A20000JDEP0,
1900,C10R20JSJDE16GC12,1121129A20000JDEP0,
1900,C10R20JSJDE16HM126,1121129A20000JDEP0,
1900,C10R20JSJDE16HM127,1121129A20000JDEP0,
1900,C10R20JSJDE16HM128,1121129A20000JDEP0,
1900,C10R20JSJDE16HM129,1121129A20000JDEP0,
